env_device_type,env_executables_nvcc,env_executables_nvidia-smi,env_gpu_torch_cuda_devices,env_hostname,env_libraries_bitsandbytes,env_libraries_torch,env_libraries_transformers,env_platform,env_python,env_selected_device,env_timestamp,manifest_activation_config_activation_ratios,manifest_activation_config_activation_types,manifest_activation_config_mix_layout,manifest_activation_config_ratio_sum_tol,manifest_amp,manifest_amp_dtype,manifest_amp_dtype_effective,manifest_batch_size,manifest_compile,manifest_compile_backend,manifest_compile_mode,manifest_dataset_meta_features,manifest_dataset_meta_scale_x,manifest_dataset_meta_scale_y,manifest_dataset_meta_task,manifest_dataset_meta_test_size,manifest_dataset_meta_train_size,manifest_dataset_meta_val_size,manifest_dataset_meta_x_scaler,manifest_dataset_meta_y_scaler,manifest_dataset_meta_y_scaler_mean,manifest_dataset_meta_y_scaler_std,manifest_dense_depth,manifest_dense_respsann_width,manifest_dense_resrelu_width,manifest_depth_sparse,manifest_dtype,manifest_epochs,manifest_features,manifest_k,manifest_lr,manifest_match_tolerance,manifest_pattern,manifest_radius,manifest_seed,manifest_shape,manifest_sparse_activation,manifest_task,manifest_test_size,manifest_tf32,manifest_timing_epochs,manifest_timing_warmup_steps,manifest_train_size,manifest_val_fraction,manifest_val_size,manifest_weight_decay,manifest_wrap_mode,metrics_test_mae,metrics_test_mse,metrics_test_r2,metrics_test_rmse,metrics_test_smape,metrics_train_mae,metrics_train_mse,metrics_train_r2,metrics_train_rmse,metrics_train_smape,metrics_val_mae,metrics_val_mse,metrics_val_r2,metrics_val_rmse,metrics_val_smape,model,mse_test,mse_train,mse_val,param_mismatch,param_mismatch_ratio,params_analytic,params_empirical,params_trainable,result_dir,run_id,status,train_compile_time_s,train_epoch_time_s_mean,train_grad_nonfinite_steps,train_grad_norm_max,train_loss_nonfinite_steps,train_samples_per_sec,train_step_time_ms_mean,train_train_time_s
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20463439872, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:12.569089Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.3044830858707428,0.14500463008880615,0.45700729883019175,0.38079473484911286,1.0666124820709229,0.3014135956764221,0.14139150083065033,0.503677934832268,0.37602061224173644,1.0392342805862427,0.28821247816085815,0.1296798139810562,0.5121731128493572,0.36011083568959185,1.0372148752212524,geo_sparse,0.14500463008880615,0.14139150083065033,0.1296798139810562,,,661,725,725,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=0,ok,,0.3425820010947064,0,2.187530093886071,0,10757.343511826783,2.9117938059347646,3.426496509986464
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20463439872, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:12.569089Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.3004628121852875,0.13891999423503876,0.47979217718785794,0.3727197261147292,1.0675504207611084,0.3085308372974396,0.14783582091331482,0.48105662447934283,0.38449424041630953,1.0630499124526978,0.292703777551651,0.13715024292469025,0.48407102393000423,0.37033801171995595,1.0329887866973877,dense_resrelu,0.13891999423503876,0.14783582091331482,0.13715024292469025,32,0.044137931034482755,757,757,757,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=0,ok,,0.31931259780540133,0,1.0379364482865645,0,11541.03469551269,10.556897163391113,3.193821089051198
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20463439872, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:12.569089Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.329114705324173,0.17072990536689758,0.3606749492836093,0.4131947547669229,1.1435331106185913,0.3309006989002228,0.17105674743652344,0.39954493723051665,0.41359007173350215,1.1224361658096313,0.3142169713973999,0.15730921924114227,0.40823737699556706,0.39662226266454365,1.1036732196807861,dense_respsann,0.17072990536689758,0.17105674743652344,0.15730921924114227,34,0.04689655172413793,691,691,691,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=0,ok,,0.46572828239877706,0,1.6839320734302303,0,7913.337282910078,13.025547910619665,4.657958922034595
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20449140736, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:22.300625Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,1,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.3405155539512634,0.18003863096237183,0.3620820995271603,0.4243095932952398,1.1696982383728027,0.34277164936065674,0.18497449159622192,0.34887625523874677,0.4300866094128274,1.183281421661377,0.3604491353034973,0.20300620794296265,0.3768929177921422,0.450562102204527,1.1371997594833374,geo_sparse,0.18003863096237183,0.18497449159622192,0.20300620794296265,,,661,725,725,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_1,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=1,ok,,0.28790596961043774,0,2.5574559215624317,0,12799.583217222935,2.951997642163877,2.879781269002706
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20449140736, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:22.300625Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,1,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.2889966070652008,0.12816859781742096,0.5458694481890108,0.3580064214751196,0.9758566617965698,0.2872043251991272,0.12602604925632477,0.5563790918064025,0.35500147782273356,0.9896112680435181,0.3086792826652527,0.14925658702850342,0.5418719709831235,0.38633740050440807,0.9994724988937378,dense_resrelu,0.12816859781742096,0.12602604925632477,0.14925658702850342,32,0.044137931034482755,757,757,757,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_1,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=1,ok,,0.19895382040995174,0,1.4375455174457223,0,18520.865003195584,2.922007684354429,1.9901878229575232
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20449140736, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:22.300625Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,1,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.37329334020614624,0.21319220960140228,0.24461141467735326,0.4617274191570198,1.2719587087631226,0.3706132471561432,0.21404241025447845,0.24655505517565623,0.46264717685778484,1.2584306001663208,0.3903190791606903,0.2392469048500061,0.2656557321056541,0.48912872012386077,1.2419408559799194,dense_respsann,0.21319220960140228,0.21404241025447845,0.2392469048500061,34,0.04689655172413793,691,691,691,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_1,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=1,ok,,0.3230101147084497,0,1.5278241987148014,0,11409.273001831598,6.825409182795772,3.23070540901972
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20432863232, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:29.841765Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,2,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.28168606758117676,0.12418971210718155,0.5283359854975533,0.35240560737193377,1.0170725584030151,0.2906680703163147,0.131078839302063,0.5093158875584956,0.3620481173850556,1.0489110946655273,0.2831832766532898,0.12168563902378082,0.5267734107324057,0.3488346872427982,1.0568084716796875,geo_sparse,0.12418971210718155,0.131078839302063,0.12168563902378082,,,661,725,725,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_2,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=2,ok,,0.18026824090047738,0,1.9241954062795064,0,20442.25970393189,2.970997368847882,1.80312746897107
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20432863232, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:29.841765Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,2,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.34871456027030945,0.1967812031507492,0.2526384780037132,0.4436002740652323,1.248683214187622,0.3638240396976471,0.20663590729236603,0.2264734477988899,0.454572224506036,1.288653016090393,0.34912630915641785,0.19067448377609253,0.2584808531227264,0.4366628948927222,1.314490795135498,dense_resrelu,0.1967812031507492,0.20663590729236603,0.19067448377609253,32,0.044137931034482755,757,757,757,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_2,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=2,ok,,0.12346979850553907,0,1.274684379892087,0,29844.870467762845,2.9237736419395164,1.235053107026033
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 49, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20432863232, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:29.841765Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,7,8,4,float32,10,16,4,0.001,0.01,local,1,2,"[4, 4]",relu,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.35530996322631836,0.20248132944107056,0.23098978904513368,0.44997925445632553,1.2837507724761963,0.37082064151763916,0.21498727798461914,0.19521070772293836,0.4636672060698483,1.3173316717147827,0.35559311509132385,0.19804495573043823,0.22981759799366042,0.44502242160416844,1.3302891254425049,dense_respsann,0.20248132944107056,0.21498727798461914,0.19804495573043823,34,0.04689655172413793,691,691,691,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_relu_seed_2,task=mixed_shape=4x4_depth=4_k=4_act=relu_seed=2,ok,,0.28209856571047565,0,1.4360720518820802,0,13063.978129328423,5.223227244836313,2.8214989060070366
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 50, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20332253184, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:39.353743Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,8,9,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",psann,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.29916712641716003,0.14564058184623718,0.45462587719993297,0.38162885352949555,1.0485326051712036,0.3018704056739807,0.14370298385620117,0.495563995345328,0.37908176407762106,1.0495284795761108,0.2904283404350281,0.13620230555534363,0.48763694148203407,0.36905596534312196,1.03630530834198,geo_sparse,0.14564058184623718,0.14370298385620117,0.13620230555534363,,,661,917,917,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_psann_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=psann_seed=0,ok,,0.3988597615098115,0,2.3674223738359834,0,9239.58856862952,4.311358796225654,3.9893551240093075
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 50, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20332253184, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:39.353743Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,8,9,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",psann,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.3413705825805664,0.18827176094055176,0.29498670515212466,0.4339029395389616,1.1813652515411377,0.3559722900390625,0.20002885162830353,0.2978451217201361,0.4472458514377786,1.2200465202331543,0.34114596247673035,0.18688799440860748,0.29696855532931477,0.43230544110455915,1.1916574239730835,dense_resrelu,0.18827176094055176,0.20002885162830353,0.18688799440860748,6,0.006543075245365322,923,923,923,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_psann_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=psann_seed=0,ok,,0.1376211699040141,0,1.0922809286162356,0,26776.246924844447,4.40747496816847,1.3765932209789753
cuda,"{""returncode"": 0, ""stderr"": """", ""stdout"": ""nvcc: NVIDIA (R) Cuda compiler driver\nCopyright (c) 2005-2025 NVIDIA Corporation\nBuilt on Wed_Aug_20_01:57:39_PM_PDT_2025\nCuda compilation tools, release 13.0, V13.0.88\nBuild cuda_13.0.r13.0/compiler.36424714_0""}","{""returncode"": 0, ""stderr"": """", ""stdout"": ""NVIDIA GB10, 580.95.05, 50, [N/A], [N/A]""}","[{""capability"": [12, 1], ""index"": 0, ""memory_free_bytes"": 20332253184, ""memory_total_bytes"": 128457015296, ""name"": ""NVIDIA GB10""}]",gx10-6c52,"{""import_error"": ""No module named 'bitsandbytes'""}","{""cuda_available"": true, ""cuda_version"": ""12.8"", ""cudnn_version"": 91002, ""device_count"": 1, ""version"": ""2.10.0+cu128""}","{""import_error"": ""No module named 'transformers'""}",Linux-6.14.0-1013-nvidia-aarch64-with-glibc2.39,"3.12.3 (main, Nov  6 2025, 13:44:16) [GCC 13.3.0]",cuda,2026-02-05T20:09:39.353743Z,"[0.25, 0.75]","[""psann"", ""relu""]",random,0.001,False,bfloat16,torch.bfloat16,128,False,inductor,default,16,False,False,mixed,1024,4096,410,,,,,4,8,9,4,float32,10,16,4,0.001,0.01,local,1,0,"[4, 4]",psann,mixed,1024,False,1,2,4096,0.1,410,0.0,clamp,0.35619622468948364,0.20285886526107788,0.2403629929824005,0.45039856267652306,1.2329237461090088,0.3739997148513794,0.22075043618679047,0.2251068051908195,0.46984086261923885,1.2770956754684448,0.3523687720298767,0.2005433291196823,0.2456002045127199,0.44782064391861426,1.2118761539459229,dense_respsann,0.20285886526107788,0.22075043618679047,0.2005433291196823,64,0.0697928026172301,853,853,853,/home/nickm1128/psann/reports/full_suite/20260205_194552/geo_sparse_sweep/task_mixed_shape_4x4_depth_4_k_4_act_psann_seed_0,task=mixed_shape=4x4_depth=4_k=4_act=psann_seed=0,ok,,0.24898951060604305,0,0.9931283209562332,0,14801.767901524157,4.257953202282941,2.490243074018508
